Numero nacional;Pokemon;Seccion;Modo;Tablero;Zona;Metodo;Flechas;Porcentaje referencia;Detalle
100;Voltorb;Normal;Gen 3;Zafiro;Plains;Caza;3;14,08%;
100;Voltorb;Normal;Gen 3;Ruby;City;Caza;2;14,08%;
100;Voltorb;Normal;Gen 3;Ruby;City;Caza;3;16,13%;
100;Voltorb;Normal;RANDOM;Ruby;City;Candidato a caza;;;2/3 flechas
100;Voltorb;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2/3 flechas
100;Voltorb;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
100;Voltorb;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;2/3 flechas
101;Electrode;Normal;;;;Evolucion;;;Evolucion de Voltorb
102;Exeggcute;Normal;Gen 1;Ruby;Safari Zone;Caza;2;12,5%;
102;Exeggcute;Normal;Gen 1;Ruby;Safari Zone;Caza;3;12,5%;
102;Exeggcute;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2/3 flechas
103;Exeggutor;Normal;;;;Evolucion;;;Evolucion de Exeggcute
104;Cubone;Normal;Gen 1;Ruby;Cave;Caza;2;12,5%;
104;Cubone;Normal;Gen 1;Zafiro;Cave;Caza;2;12,5%;
104;Cubone;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2 flechas
104;Cubone;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2 flechas
105;Marowak;Normal;;;;Evolucion;;;Evolucion de Cubone
106;Hitmonlee;Normal;Gen 1;Ruby;Safari Zone;Caza;3;12,5%;
106;Hitmonlee;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;3 flechas
106;Hitmonlee;Normal;;;;Evolucion;;;Evolucion de Tyrogue (segun zona y las ramas pendientes en la Pokedex)
107;Hitmonchan;Normal;Gen 1;Ruby;Safari Zone;Caza;3;12,5%;
107;Hitmonchan;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;3 flechas
107;Hitmonchan;Normal;;;;Evolucion;;;Evolucion de Tyrogue (segun zona y las ramas pendientes en la Pokedex)
108;Lickitung;Normal;Gen 1;Ruby;Safari Zone;Caza;2;12,5%;
108;Lickitung;Normal;Gen 4;Ruby;Plains;Caza;2;12,5%;
108;Lickitung;Normal;Gen 4;Zafiro;Plains;Caza;2;12,5%;
108;Lickitung;Normal;Gen 4;Ruby;Safari Zone;Caza;2;12,5%;
108;Lickitung;Normal;Gen 4;Ruby;Safari Zone;Caza;3;12,5%;
108;Lickitung;Normal;Gen 4;Zafiro;Wilderness;Caza;2;12,5%;
108;Lickitung;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2 flechas
108;Lickitung;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2/3 flechas
108;Lickitung;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2 flechas
108;Lickitung;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;2 flechas
109;Koffing;Normal;Gen 1;Ruby;Volcano;Caza;2;20%;
109;Koffing;Normal;Gen 1;Ruby;Volcano;Caza;3;16,67%;
109;Koffing;Normal;Gen 3;Ruby;Volcano;Caza;2;19,61%;
109;Koffing;Normal;Gen 3;Ruby;Volcano;Caza;3;19,61%;
109;Koffing;Normal;RANDOM;Ruby;Volcano;Candidato a caza;;;2/3 flechas
110;Weezing;Normal;;;;Evolucion;;;Evolucion de Koffing
111;Rhyhorn;Normal;Gen 1;Ruby;Cave;Caza;3;12,5%;
111;Rhyhorn;Normal;Gen 1;Zafiro;Cave;Caza;3;12,5%;
111;Rhyhorn;Normal;Gen 3;Ruby;Safari Zone;Caza;2;16,39%;
111;Rhyhorn;Normal;Gen 3;Ruby;Safari Zone;Caza;3;16,39%;
111;Rhyhorn;Normal;Gen 4;Ruby;Cave;Caza;2;14,08%;
111;Rhyhorn;Normal;Gen 4;Zafiro;Cave;Caza;2;14,08%;
111;Rhyhorn;Normal;Gen 4;Ruby;Volcano;Caza;2;12,5%;
111;Rhyhorn;Normal;Gen 4;Ruby;Volcano;Caza;3;14,08%;
111;Rhyhorn;Normal;RANDOM;Ruby;Cave;Candidato a caza;;;2/3 flechas
111;Rhyhorn;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2/3 flechas
111;Rhyhorn;Normal;RANDOM;Ruby;Volcano;Candidato a caza;;;2/3 flechas
111;Rhyhorn;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;2/3 flechas
112;Rhydon;Normal;;;;Evolucion;;;Evolucion de Rhyhorn
113;Chansey;Normal;Gen 1;Ruby;Safari Zone;Caza;3;12,5%;
113;Chansey;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;3 flechas
113;Chansey;Normal;;;;Evolucion;;;Evolucion de Happiny
114;Tangela;Normal;Gen 1;Zafiro;Wilderness;Caza;2;14,29%;
114;Tangela;Normal;Gen 1;Zafiro;Wilderness;Caza;3;14,29%;
114;Tangela;Normal;Gen 4;Ruby;Forest;Caza;2;12,5%;
114;Tangela;Normal;Gen 4;Ruby;Forest;Caza;3;12,5%;
114;Tangela;Normal;Gen 4;Zafiro;Forest;Caza;2;12,5%;
114;Tangela;Normal;Gen 4;Zafiro;Forest;Caza;3;12,5%;
114;Tangela;Normal;Gen 4;Ruby;Safari Zone;Caza;2;12,5%;
114;Tangela;Normal;Gen 4;Ruby;Safari Zone;Caza;3;12,5%;
114;Tangela;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
114;Tangela;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2/3 flechas
114;Tangela;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
114;Tangela;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;2/3 flechas
115;Kangaskhan;Normal;Gen 1;Ruby;Safari Zone;Caza;2;12,5%;
115;Kangaskhan;Normal;Gen 1;Ruby;Safari Zone;Caza;3;12,5%;
115;Kangaskhan;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2/3 flechas
116;Horsea;Normal;Gen 1;Ruby;Ocean;Caza;2;12,5%;
116;Horsea;Normal;Gen 1;Ruby;Ocean;Caza;3;12,5%;
116;Horsea;Normal;Gen 1;Zafiro;Ocean;Caza;2;12,5%;
116;Horsea;Normal;Gen 1;Zafiro;Ocean;Caza;3;12,5%;
116;Horsea;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;2/3 flechas
116;Horsea;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2/3 flechas
117;Seadra;Normal;;;;Evolucion;;;Evolucion de Horsea
118;Goldeen;Normal;Gen 1;Ruby;Ocean;Caza;2;12,5%;
118;Goldeen;Normal;Gen 1;Zafiro;Ocean;Caza;2;12,5%;
118;Goldeen;Normal;Gen 1;Zafiro;Lake;Caza;2;16,67%;
118;Goldeen;Normal;Gen 1;Zafiro;Lake;Caza;3;14,29%;
118;Goldeen;Normal;Gen 3;Zafiro;Lake;Caza;2;19,61%;
118;Goldeen;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;2 flechas
118;Goldeen;Normal;RANDOM;Zafiro;Lake;Candidato a caza;;;2/3 flechas
118;Goldeen;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2 flechas
119;Seaking;Normal;;;;Evolucion;;;Evolucion de Goldeen
120;Staryu;Normal;Gen 1;Ruby;Ocean;Caza;3;12,5%;
120;Staryu;Normal;Gen 1;Zafiro;Ocean;Caza;3;12,5%;
120;Staryu;Normal;Gen 1;Zafiro;Lake;Caza;2;16,67%;
120;Staryu;Normal;Gen 1;Zafiro;Lake;Caza;3;14,29%;
120;Staryu;Normal;Gen 3;Ruby;Ocean;Caza;3;16,39%;
120;Staryu;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;3 flechas
120;Staryu;Normal;RANDOM;Zafiro;Lake;Candidato a caza;;;2/3 flechas
120;Staryu;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;3 flechas
121;Starmie;Normal;;;;Evolucion;;;Evolucion de Staryu
122;Mr Mime;Normal;Gen 1;Ruby;Safari Zone;Caza;2;12,5%;
122;Mr Mime;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2 flechas
122;Mr Mime;Normal;;;;Evolucion;;;Evolucion de Mime Jr.
123;Scyther;Normal;Gen 1;Ruby;Safari Zone;Caza;2;12,5%;
123;Scyther;Normal;Gen 1;Ruby;Safari Zone;Caza;3;12,5%;
123;Scyther;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2/3 flechas
124;Jynx;Normal;Gen 1;Zafiro;Cave;Caza;3;12,5%;
124;Jynx;Normal;Gen 1;Zafiro;Ice Cave;Caza;2;14,29%;
124;Jynx;Normal;Gen 1;Zafiro;Ice Cave;Caza;3;12,5%;
124;Jynx;Normal;RANDOM;Zafiro;Cave;Candidato a caza;;;3 flechas
124;Jynx;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
124;Jynx;Normal;;;;Evolucion;;;Evolucion de Smoochum
125;Electabuzz;Normal;Gen 1;Zafiro;Wilderness;Caza;2;14,29%;
125;Electabuzz;Normal;Gen 1;Zafiro;Wilderness;Caza;3;14,29%;
125;Electabuzz;Normal;Gen 1;Ruby;Ruin;Caza;2;20%;
125;Electabuzz;Normal;Gen 1;Ruby;Ruin;Caza;3;14,29%;
125;Electabuzz;Normal;Gen 1;Zafiro;Ruin;Caza;2;20%;
125;Electabuzz;Normal;Gen 1;Zafiro;Ruin;Caza;3;14,29%;
125;Electabuzz;Normal;RANDOM;Ruby;Ruin;Candidato a caza;;;2/3 flechas
125;Electabuzz;Normal;RANDOM;Zafiro;Ruin;Candidato a caza;;;2/3 flechas
125;Electabuzz;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;2/3 flechas
125;Electabuzz;Normal;;;;Evolucion;;;Evolucion de Elekid
126;Magmar;Normal;Gen 1;Ruby;Volcano;Caza;2;20%;
126;Magmar;Normal;Gen 1;Ruby;Volcano;Caza;3;33,33%;
126;Magmar;Normal;RANDOM;Ruby;Volcano;Candidato a caza;;;2/3 flechas
126;Magmar;Normal;;;;Evolucion;;;Evolucion de Magby
127;Pinsir;Normal;Gen 1;Ruby;Safari Zone;Caza;2;12,5%;
127;Pinsir;Normal;Gen 1;Ruby;Safari Zone;Caza;3;12,5%;
127;Pinsir;Normal;Gen 3;Ruby;Safari Zone;Caza;2;16,39%;
127;Pinsir;Normal;Gen 3;Ruby;Safari Zone;Caza;3;16,39%;
127;Pinsir;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2/3 flechas
128;Tauros;Normal;Gen 1;Ruby;Safari Zone;Caza;2;12,5%;
128;Tauros;Normal;Gen 1;Ruby;Safari Zone;Caza;3;12,5%;
128;Tauros;Normal;RANDOM;Ruby;Safari Zone;Candidato a caza;;;2/3 flechas
129;Magikarp;Normal;Gen 1;Ruby;Ocean;Caza;3;12,5%;
129;Magikarp;Normal;Gen 1;Zafiro;Ocean;Caza;3;12,5%;
129;Magikarp;Normal;Gen 1;Zafiro;Lake;Caza;2;16,67%;
129;Magikarp;Normal;Gen 1;Zafiro;Lake;Caza;3;14,29%;
129;Magikarp;Normal;Gen 3;Zafiro;Ocean;Caza;2;19,61%;
129;Magikarp;Normal;Gen 3;Zafiro;Ocean;Caza;3;16,39%;
129;Magikarp;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;3 flechas
129;Magikarp;Normal;RANDOM;Zafiro;Lake;Candidato a caza;;;2/3 flechas
129;Magikarp;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2/3 flechas
130;Gyarados;Normal;;;;Evolucion;;;Evolucion de Magikarp
131;Lapras;Normal;Gen 1;Ruby;Ocean;Caza;3;12,5%;
131;Lapras;Normal;Gen 1;Zafiro;Ocean;Caza;3;12,5%;
131;Lapras;Normal;Gen 1;Ruby;Ruin;Caza;2;20%;
131;Lapras;Normal;Gen 1;Ruby;Ruin;Caza;3;14,29%;
131;Lapras;Normal;Gen 1;Zafiro;Ruin;Caza;2;20%;
131;Lapras;Normal;Gen 1;Zafiro;Ruin;Caza;3;14,29%;
131;Lapras;Normal;Gen 1;Zafiro;Ice Cave;Caza;2;14,29%;
131;Lapras;Normal;Gen 1;Zafiro;Ice Cave;Caza;3;25%;
131;Lapras;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;3 flechas
131;Lapras;Normal;RANDOM;Ruby;Ruin;Candidato a caza;;;2/3 flechas
131;Lapras;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
131;Lapras;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;3 flechas
131;Lapras;Normal;RANDOM;Zafiro;Ruin;Candidato a caza;;;2/3 flechas
132;Ditto;Normal;Gen 1;Zafiro;Wilderness;Caza;2;14,29%;
132;Ditto;Normal;Gen 1;Zafiro;Wilderness;Caza;3;14,29%;
132;Ditto;Normal;Gen 1;Ruby;Ruin;Caza;3;14,29%;
132;Ditto;Normal;Gen 1;Zafiro;Ruin;Caza;3;14,29%;
132;Ditto;Normal;RANDOM;Ruby;Ruin;Candidato a caza;;;3 flechas
132;Ditto;Normal;RANDOM;Zafiro;Ruin;Candidato a caza;;;3 flechas
132;Ditto;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;2/3 flechas
133;Eevee;Normal;Gen 1;Zafiro;Plains;Caza;3;12,5%;
133;Eevee;Normal;Gen 1;Ruby;City;Caza;2;12,5%;
133;Eevee;Normal;Gen 1;Ruby;City;Caza;3;12,5%;
133;Eevee;Normal;Gen 2;Ruby;Ruin;Caza;2;16,67%;
133;Eevee;Normal;Gen 2;Ruby;Ruin;Caza;3;14,08%;
133;Eevee;Normal;Gen 2;Zafiro;Ruin;Caza;2;16,67%;
133;Eevee;Normal;Gen 2;Zafiro;Ruin;Caza;3;14,08%;
133;Eevee;Normal;Gen 4;Ruby;Forest;Caza;3;12,5%;
133;Eevee;Normal;Gen 4;Zafiro;Forest;Caza;3;12,5%;
133;Eevee;Normal;Gen 4;Ruby;Plains;Caza;2;12,5%;
133;Eevee;Normal;Gen 4;Ruby;Plains;Caza;3;12,5%;
133;Eevee;Normal;Gen 4;Zafiro;Plains;Caza;2;12,5%;
133;Eevee;Normal;Gen 4;Zafiro;Plains;Caza;3;12,5%;
133;Eevee;Normal;Gen 4;Ruby;City;Caza;2;12,5%;
133;Eevee;Normal;Gen 4;Ruby;City;Caza;3;12,5%;
133;Eevee;Normal;Gen 4;Zafiro;Ice Cave;Caza;2;12,5%;
133;Eevee;Normal;Gen 4;Zafiro;Ice Cave;Caza;3;12,5%;
133;Eevee;Normal;RANDOM;Ruby;City;Candidato a caza;;;2/3 flechas
133;Eevee;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;3 flechas
133;Eevee;Normal;RANDOM;Ruby;Plains;Candidato a caza;;;2/3 flechas
133;Eevee;Normal;RANDOM;Ruby;Ruin;Candidato a caza;;;2/3 flechas
133;Eevee;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;3 flechas
133;Eevee;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
133;Eevee;Normal;RANDOM;Zafiro;Plains;Candidato a caza;;;2/3 flechas
133;Eevee;Normal;RANDOM;Zafiro;Ruin;Candidato a caza;;;2/3 flechas
134;Vaporeon;Normal;;;;Evolucion;;;Evolucion de Eevee (Ocean de ambos tableros o Lake)
135;Jolteon;Normal;;;;Evolucion;;;Evolucion de Eevee (resto de zonas, salvo Espeon/Umbreon en Gen 2 o RANDOM y Leafeon/Glaceon en Gen 4 o RANDOM)
136;Flareon;Normal;;;;Evolucion;;;Evolucion de Eevee (Volcano)
137;Porygon;Normal;Gen 1;Zafiro;Wilderness;Caza;2;14,29%;
137;Porygon;Normal;Gen 4;Ruby;City;Caza;2;12,5%;
137;Porygon;Normal;Gen 4;Ruby;City;Caza;3;12,5%;
137;Porygon;Normal;Gen 4;Zafiro;Ice Cave;Caza;2;12,5%;
137;Porygon;Normal;Gen 4;Zafiro;Ice Cave;Caza;3;12,5%;
137;Porygon;Normal;RANDOM;Ruby;City;Candidato a caza;;;2/3 flechas
137;Porygon;Normal;RANDOM;Zafiro;Ice Cave;Candidato a caza;;;2/3 flechas
137;Porygon;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;2 flechas
138;Omanyte;Normal;Gen 1;Ruby;Ruin;Caza;2;20%;
138;Omanyte;Normal;Gen 1;Ruby;Ruin;Caza;3;14,29%;
138;Omanyte;Normal;Gen 1;Zafiro;Ruin;Caza;2;20%;
138;Omanyte;Normal;Gen 1;Zafiro;Ruin;Caza;3;14,29%;
138;Omanyte;Normal;RANDOM;Ruby;Ruin;Candidato a caza;;;2/3 flechas
138;Omanyte;Normal;RANDOM;Zafiro;Ruin;Candidato a caza;;;2/3 flechas
139;Omastar;Normal;;;;Evolucion;;;Evolucion de Omanyte
140;Kabuto;Normal;Gen 1;Ruby;Ruin;Caza;2;20%;
140;Kabuto;Normal;Gen 1;Ruby;Ruin;Caza;3;14,29%;
140;Kabuto;Normal;Gen 1;Zafiro;Ruin;Caza;2;20%;
140;Kabuto;Normal;Gen 1;Zafiro;Ruin;Caza;3;14,29%;
140;Kabuto;Normal;RANDOM;Ruby;Ruin;Candidato a caza;;;2/3 flechas
140;Kabuto;Normal;RANDOM;Zafiro;Ruin;Candidato a caza;;;2/3 flechas
141;Kabutops;Normal;;;;Evolucion;;;Evolucion de Kabuto
142;Aerodactyl;Especial;Gen 1;Ruby;Ruin;Caza;2;20%;
142;Aerodactyl;Especial;Gen 1;Ruby;Ruin;Caza;3;14,29%;
142;Aerodactyl;Especial;Gen 1;Zafiro;Ruin;Caza;2;20%;
142;Aerodactyl;Especial;Gen 1;Zafiro;Ruin;Caza;3;14,29%;
142;Aerodactyl;Especial;RANDOM;Ruby;Ruin;Candidato a caza;;;2/3 flechas
142;Aerodactyl;Especial;RANDOM;Zafiro;Ruin;Candidato a caza;;;2/3 flechas
142;Aerodactyl;Especial;;;;Especial;;;"Ademas de las rutas ordinarias indicadas debajo, puede obtenerse con la carta e-Reader de invitados especiales fuera de Gen 4. Tambien participa en el grupo de invitados heredado si ya tiene un flag en la Pokedex: grupo al 1% (2% con mejora), desde 100 especies registradas como capturadas en gBoardConfig y 5 capturas/evoluciones en partida. Se priorizan invitados pendientes; el porcentaje no es individual. forceSpecialMons puede forzar el grupo."
143;Snorlax;Normal;Gen 1;Zafiro;Wilderness;Caza;3;14,29%;
143;Snorlax;Normal;Gen 1;Ruby;Ruin;Caza;3;14,29%;
143;Snorlax;Normal;Gen 1;Zafiro;Ruin;Caza;3;14,29%;
143;Snorlax;Normal;RANDOM;Ruby;Ruin;Candidato a caza;;;3 flechas
143;Snorlax;Normal;RANDOM;Zafiro;Ruin;Candidato a caza;;;3 flechas
143;Snorlax;Normal;RANDOM;Zafiro;Wilderness;Candidato a caza;;;3 flechas
143;Snorlax;Normal;;;;Evolucion;;;Evolucion de Munchlax
144;Articuno;Especial;;;;Especial;;;Gen 1, Zafiro: cualquier zona, 5% compartido entre las aves disponibles. En Ice Cave, desde 10 capturas/evoluciones en partida: 20% para este Pokemon y 5% compartido entre las otras aves.
145;Zapdos;Especial;;;;Especial;;;Gen 1, Zafiro: cualquier zona, 5% compartido entre las aves disponibles. En Plains, desde 10 capturas/evoluciones en partida: 20% para este Pokemon y 5% compartido entre las otras aves.
146;Moltres;Especial;;;;Especial;;;Gen 1, Zafiro: cualquier zona, 5% compartido entre las aves disponibles. En Wilderness, desde 10 capturas/evoluciones en partida: 20% para este Pokemon y 5% compartido entre las otras aves.
147;Dratini;Normal;Gen 1;Ruby;Ocean;Caza;3;12,5%;
147;Dratini;Normal;Gen 1;Zafiro;Ocean;Caza;3;12,5%;
147;Dratini;Normal;Gen 1;Zafiro;Lake;Caza;3;14,29%;
147;Dratini;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;3 flechas
147;Dratini;Normal;RANDOM;Zafiro;Lake;Candidato a caza;;;3 flechas
147;Dratini;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;3 flechas
148;Dragonair;Normal;;;;Evolucion;;;Evolucion de Dratini
149;Dragonite;Normal;;;;Evolucion;;;Evolucion de Dragonair
150;Mewtwo;Especial;;;;Especial;;;Gen 1, ambos tableros, cualquier zona: Articuno, Zapdos y Moltres capturados en la Pokedex y al menos 20 capturas/evoluciones en la partida. 25%.
151;Mew;Especial;;;;Especial;;;Gen 1, ambos tableros, cualquier zona: tener capturados en la Pokedex los Pokemon nacionales 001-150 y llevar al menos 15 capturas/evoluciones en la partida. 25%.
152;Chikorita;Especial;Gen 2;Ruby;Forest;Caza;2;12,5%;
152;Chikorita;Especial;Gen 2;Ruby;Forest;Caza;3;12,5%;
152;Chikorita;Especial;Gen 2;Zafiro;Forest;Caza;2;12,5%;
152;Chikorita;Especial;Gen 2;Zafiro;Forest;Caza;3;12,5%;
152;Chikorita;Especial;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
152;Chikorita;Especial;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
152;Chikorita;Especial;;;;Especial;;;"Ademas de las rutas ordinarias indicadas debajo, puede obtenerse con la carta e-Reader de invitados especiales fuera de Gen 4. Tambien participa en el grupo de invitados heredado si ya tiene un flag en la Pokedex: grupo al 1% (2% con mejora), desde 100 especies registradas como capturadas en gBoardConfig y 5 capturas/evoluciones en partida. Se priorizan invitados pendientes; el porcentaje no es individual. forceSpecialMons puede forzar el grupo."
153;Bayleef;Normal;;;;Evolucion;;;Evolucion de Chikorita
154;Meganium;Normal;;;;Evolucion;;;Evolucion de Bayleef
155;Cyndaquil;Especial;Gen 2;Ruby;Plains;Caza;2;12,5%;
155;Cyndaquil;Especial;Gen 2;Zafiro;Plains;Caza;2;12,5%;
155;Cyndaquil;Especial;Gen 2;Ruby;Volcano;Caza;2;20%;
155;Cyndaquil;Especial;Gen 2;Ruby;Volcano;Caza;3;19,61%;
155;Cyndaquil;Especial;RANDOM;Ruby;Plains;Candidato a caza;;;2 flechas
155;Cyndaquil;Especial;RANDOM;Ruby;Volcano;Candidato a caza;;;2/3 flechas
155;Cyndaquil;Especial;RANDOM;Zafiro;Plains;Candidato a caza;;;2 flechas
155;Cyndaquil;Especial;;;;Especial;;;"Ademas de las rutas ordinarias indicadas debajo, puede obtenerse con la carta e-Reader de invitados especiales fuera de Gen 4. Tambien participa en el grupo de invitados heredado si ya tiene un flag en la Pokedex: grupo al 1% (2% con mejora), desde 100 especies registradas como capturadas en gBoardConfig y 5 capturas/evoluciones en partida. Se priorizan invitados pendientes; el porcentaje no es individual. forceSpecialMons puede forzar el grupo."
156;Quilava;Normal;;;;Evolucion;;;Evolucion de Cyndaquil
157;Typhlosion;Normal;;;;Evolucion;;;Evolucion de Quilava
158;Totodile;Especial;Gen 2;Ruby;Ocean;Caza;2;14,29%;
158;Totodile;Especial;Gen 2;Ruby;Ocean;Caza;3;12,5%;
158;Totodile;Especial;Gen 2;Zafiro;Ocean;Caza;2;14,29%;
158;Totodile;Especial;Gen 2;Zafiro;Ocean;Caza;3;12,5%;
158;Totodile;Especial;Gen 2;Zafiro;Lake;Caza;2;14,29%;
158;Totodile;Especial;Gen 2;Zafiro;Lake;Caza;3;14,29%;
158;Totodile;Especial;RANDOM;Ruby;Ocean;Candidato a caza;;;2/3 flechas
158;Totodile;Especial;RANDOM;Zafiro;Lake;Candidato a caza;;;2/3 flechas
158;Totodile;Especial;RANDOM;Zafiro;Ocean;Candidato a caza;;;2/3 flechas
158;Totodile;Especial;;;;Especial;;;"Ademas de las rutas ordinarias indicadas debajo, puede obtenerse con la carta e-Reader de invitados especiales fuera de Gen 4. Tambien participa en el grupo de invitados heredado si ya tiene un flag en la Pokedex: grupo al 1% (2% con mejora), desde 100 especies registradas como capturadas en gBoardConfig y 5 capturas/evoluciones en partida. Se priorizan invitados pendientes; el porcentaje no es individual. forceSpecialMons puede forzar el grupo."
159;Croconaw;Normal;;;;Evolucion;;;Evolucion de Totodile
160;Feraligatr;Normal;;;;Evolucion;;;Evolucion de Croconaw
161;Sentret;Normal;Gen 2;Ruby;Forest;Caza;2;12,5%;
161;Sentret;Normal;Gen 2;Ruby;Forest;Caza;3;12,5%;
161;Sentret;Normal;Gen 2;Zafiro;Forest;Caza;2;12,5%;
161;Sentret;Normal;Gen 2;Zafiro;Forest;Caza;3;12,5%;
161;Sentret;Normal;Gen 2;Ruby;City;Caza;2;12,5%;
161;Sentret;Normal;RANDOM;Ruby;City;Candidato a caza;;;2 flechas
161;Sentret;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
161;Sentret;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
162;Furret;Normal;;;;Evolucion;;;Evolucion de Sentret
163;Hoothoot;Normal;Gen 2;Ruby;Forest;Caza;2;12,5%;
163;Hoothoot;Normal;Gen 2;Ruby;Forest;Caza;3;12,5%;
163;Hoothoot;Normal;Gen 2;Zafiro;Forest;Caza;2;12,5%;
163;Hoothoot;Normal;Gen 2;Zafiro;Forest;Caza;3;12,5%;
163;Hoothoot;Normal;Gen 2;Ruby;City;Caza;2;12,5%;
163;Hoothoot;Normal;RANDOM;Ruby;City;Candidato a caza;;;2 flechas
163;Hoothoot;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
163;Hoothoot;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
164;Noctowl;Normal;;;;Evolucion;;;Evolucion de Hoothoot
165;Ledyba;Normal;Gen 2;Ruby;Forest;Caza;2;12,5%;
165;Ledyba;Normal;Gen 2;Ruby;Forest;Caza;3;12,5%;
165;Ledyba;Normal;Gen 2;Zafiro;Forest;Caza;2;12,5%;
165;Ledyba;Normal;Gen 2;Zafiro;Forest;Caza;3;12,5%;
165;Ledyba;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
165;Ledyba;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
166;Ledian;Normal;;;;Evolucion;;;Evolucion de Ledyba
167;Spinarak;Normal;Gen 2;Ruby;Forest;Caza;2;12,5%;
167;Spinarak;Normal;Gen 2;Ruby;Forest;Caza;3;12,5%;
167;Spinarak;Normal;Gen 2;Zafiro;Forest;Caza;2;12,5%;
167;Spinarak;Normal;Gen 2;Zafiro;Forest;Caza;3;12,5%;
167;Spinarak;Normal;RANDOM;Ruby;Forest;Candidato a caza;;;2/3 flechas
167;Spinarak;Normal;RANDOM;Zafiro;Forest;Candidato a caza;;;2/3 flechas
168;Ariados;Normal;;;;Evolucion;;;Evolucion de Spinarak
169;Crobat;Normal;;;;Evolucion;;;Evolucion de Golbat
170;Chinchou;Normal;Gen 2;Ruby;Ocean;Caza;2;14,29%;
170;Chinchou;Normal;Gen 2;Ruby;Ocean;Caza;3;12,5%;
170;Chinchou;Normal;Gen 2;Zafiro;Ocean;Caza;2;14,29%;
170;Chinchou;Normal;Gen 2;Zafiro;Ocean;Caza;3;12,5%;
170;Chinchou;Normal;RANDOM;Ruby;Ocean;Candidato a caza;;;2/3 flechas
170;Chinchou;Normal;RANDOM;Zafiro;Ocean;Candidato a caza;;;2/3 flechas
170;Chinchou;Normal;Gen 1;Ruby;Cualquier zona;Huevo;;4%;
170;Chinchou;Normal;Gen 1;Zafiro;Cualquier zona;Huevo;;8%;
170;Chinchou;Normal;Gen 2;Ruby;Cualquier zona;Huevo;;8%;
170;Chinchou;Normal;Gen 2;Zafiro;Cualquier zona;Huevo;;8%;
170;Chinchou;Normal;Gen 3;Ruby;Cualquier zona;Huevo;;4%;
